sep=;
Catégorie;Niveau;Question;Éléments de réponse attendus;Red flag
Java;Junior;Différence entre une ArrayList et une LinkedList : laquelle choisir dans un traitement batch ?;ArrayList = tableau contigu, accès O(1), itération rapide, cache-friendly. LinkedList = O(1) en insertion tête/queue mais mauvaise localité mémoire. En batch, ArrayList quasi toujours.;Répond 'LinkedList car insertion plus rapide' sans nuance sur l'itération.
Java;Junior;Qu'est-ce qu'un objet immuable ? Comment en écrire un ? Pourquoi est-ce important en Spark ?;final class, champs final/private, pas de setter, copie défensive des collections. En Spark : sérialisation, partage entre threads, closures sans effet de bord.;Ne fait pas le lien avec la concurrence ou la sérialisation.
Java;Confirmé;Expliquez equals/hashCode : que se passe-t-il si le contrat est violé dans une clé de jointure ou de groupBy ?;Contrat : equals égaux => hashCode égaux. Violation => doublons dans HashMap, shuffle incorrect, agrégations fausses et non déterministes.;Connaît la règle par coeur mais ne voit pas l'impact sur un partitionnement.
Java;Confirmé;Quelles différences entre checked et unchecked exceptions ? Quelle stratégie dans un job batch de production ?;Checked = contrat de l'API, unchecked = erreur de programmation. Stratégie : fail-fast, ne jamais avaler une exception, log contextualisé (runId, partition), remontée du code retour au scheduler.;Prône le catch générique + log.error et on continue.
Java;Confirmé;Comment gérez-vous la mémoire et le GC dans une JVM de gros batch ? Quels symptômes vous alertent ?;Heap vs off-heap, générations, G1 vs Parallel, GC time > 10-15%, Full GC répétés, OOM GC overhead limit. Outils : GC logs, jstat, heap dump, MAT.;N'a jamais regardé un log GC ni un heap dump.
Java;Confirmé;Streams Java : différence entre map, flatMap et reduce. Quand un Stream est-il un mauvais choix ?;map 1->1, flatMap 1->n aplati, reduce agrégation. Mauvais choix : parallelStream sur petites collections, code très chaud, debug difficile.;Utilise parallelStream 'pour aller plus vite' sans mesurer.
Java;Senior;Comment structureriez-vous un moteur de calcul en étapes (steps) réutilisables et testables ?;Interface Step, injection de dépendances (Spring), scope prototype, chaîne de responsabilité ou pipeline configurable, séparation I/O / logique métier, tests unitaires sur la logique pure.;Tout dans une classe main de 2000 lignes.
Java;Senior;Qu'est-ce que la sérialisation Java et pourquoi pose-t-elle problème dans une lambda Spark ?;La closure capture le this englobant => la classe entière doit être Serializable, sinon NotSerializableException. Solutions : variables locales, static, Broadcast, objets légers.;Rend toutes ses classes Serializable sans comprendre pourquoi.
Scala;Confirmé;Différence entre val, var et lazy val ? Case class vs class ?;val immuable, var mutable, lazy val évalué à la première utilisation. Case class : equals/hashCode/copy/apply générés, pattern matching, idéale pour Dataset.;Écrit du Scala 'Java-like' avec des var partout.
Scala;Confirmé;Qu'est-ce qu'un Option et pourquoi l'utiliser plutôt qu'un null dans un pipeline de données ?;Type explicite d'absence, composable via map/flatMap/getOrElse, évite les NPE. Attention à Option dans un Dataset (nullable columns).;Utilise systématiquement .get sur les Option.
